workerid,OS,screenH,screenW,Browser
0,Windows,768,1366,Chrome
1,Windows,768,1366,Chrome
2,Windows,768,1366,Chrome
3,Windows,768,1366,Chrome
4,Windows,768,1366,Chrome
5,Windows,768,1366,Chrome
6,Windows,768,1360,Chrome
7,Windows,768,1366,Chrome
8,Windows,768,1366,Chrome
9,Windows,768,1366,Firefox
10,Windows,768,1366,Chrome
11,Windows,1050,1680,Chrome
12,Windows,825,1320,Firefox
13,Windows,534,854,Chrome
14,Windows,768,1366,Chrome
15,Windows,720,1280,Chrome
16,Windows,800,1280,Chrome
17,Windows,864,1536,Chrome
18,Windows,768,1366,Chrome
19,Windows,768,1024,Chrome
20,Linux,640,360,Chrome
21,Windows,800,1280,Chrome
22,Mac,800,1280,Chrome
23,Windows,768,1366,Chrome
24,Windows,768,1366,Chrome
25,Windows,1050,1680,Chrome
26,Windows,1024,1280,Chrome
27,Windows,1024,1280,Chrome
28,Windows,1024,1280,Chrome
29,Windows,1440,2560,Chrome
30,Windows,864,1536,Chrome
31,Windows,900,1600,Chrome
32,Windows,768,1366,Chrome
33,Windows,768,1366,Chrome
34,Windows,768,1366,Firefox
35,Windows,768,1366,Chrome
36,Windows,800,1280,Chrome
37,Windows,900,1600,Chrome
38,Windows,1080,1920,Chrome
39,Windows,768,1366,Chrome
40,Windows,768,1366,Chrome
41,Windows,768,1366,Chrome
42,Windows,768,1366,Chrome
43,Windows,768,1366,Chrome
44,Windows,768,1366,Chrome
